,facility_name,address,levels,geometry,objectid
2,One Riverfront Plaza,401 W MAIN ST,2,"POLYGON ((-85.75727303389559 38.2575457073854, -85.75719981985755 38.25753896918884, -85.75682378281307 38.25749388850464, -85.75690428273506 38.25691283337914, -85.75737780342959 38.25696050063996, -85.75727303389559 38.2575457073854))",3
4,Witherspoon Garage,101 W WITHERSPOON,3,"POLYGON ((-85.75260652282162 38.25795407694688, -85.75251825618642 38.2583969419319, -85.7524507069772 38.25842854272448, -85.75241373224375 38.25852504513644, -85.75237085396834 38.25857169104207, -85.7523127280017 38.258587801175636, -85.75228390121806 38.2586073793619, -85.7522499697517 38.258615498742756, -85.75216709755028 38.25861272308626, -85.7521585477122 38.258670448435566, -85.750708987185 38.258539277638945, -85.75072256756121 38.25848917074123, -85.75066380645137 38.258474559780666, -85.75060464863049 38.258440749905965, -85.75054022341463 38.25838780025698, -85.75050454617077 38.25831143580015, -85.75050830598568 38.2582576136046, -85.75045457446303 38.25825062089391, -85.75045896899506 38.2582275155437, -85.7503907842506 38.25822839143761, -85.75049735588458 38.257727674247, -85.75260652282162 38.25795407694688))",5
5,Humana Waterside Garage,201 N BROOK ST,5,"MULTIPOLYGON (((-85.74826094779748 38.256547541856314, -85.74976018139077 38.25670771396335, -85.74970329663493 38.2570195770317, -85.74945444362722 38.25699972655813, -85.7494604199584 38.257053427160066, -85.74947982294564 38.257049336583236, -85.74952357443439 38.2570449334102, -85.74955790627463 38.257056013655145, -85.74960676625471 38.25706306931299, -85.74964172823326 38.25710487330566, -85.74966207851821 38.25714686489664, -85.74965800531841 38.25718532858963, -85.74964442452243 38.25723543880262, -85.74962054737844 38.257258790831514, -85.74958214218712 38.257286174295174, -85.74952417523623 38.25730996397235, -85.74947547369837 38.25731058920924, -85.74941671379308 38.25729597761952, -85.7494174274668 38.257330541800876, -85.74846553044789 38.257235203199336, -85.74851267955988 38.25692346571758, -85.74820051859449 38.25690442478913, -85.74821825350394 38.256819691563884, -85.74817466053345 38.25683177517941, -85.74815039132504 38.25683592795681, -85.74811613896048 38.25682868433158, -85.74808189095543 38.25682144064046, -85.74804245557549 38.256798900977074, -85.74800270326249 38.25676099600508, -85.74798745790574 38.25673046311039, -85.74798171599903 38.256688283884515, -85.748014696517 38.25663408701611, -85.74804336522082 38.2566068289476, -85.74807697938807 38.25658335235581, -85.74813526307615 38.25657492182597, -85.74818396413222 38.256574297147814, -85.74821326225705 38.256577762819205, -85.74824296090823 38.256600430755874, -85.74826094779748 38.256547541856314)), ((-85.74826132950386 38.25654641781501, -85.74826094779748 38.256547541856314, -85.74825159277866 38.25654654271405, -85.74826132950386 38.25654641781501)))",6
8,First & Main Garage,100 E MAIN ST,6,"POLYGON ((-85.75093973658235 38.2553229029318, -85.75151142713351 38.25538218863804, -85.75143848303077 38.25585942926264, -85.75085272721891 38.25580165931636, -85.75093581282711 38.25534349276655, -85.75093973658235 38.2553229029318))",9
10,Courtyard by Marriott Garage,100 S 2ND ST,7,"POLYGON ((-85.75371883044588 38.25555872080641, -85.75407034853096 38.25559644754902, -85.75398376389688 38.25611996002199, -85.75366146198897 38.25608185686373, -85.75367424466067 38.25599334498722, -85.75368374709115 38.25598169819343, -85.75370906946512 38.255793156532576, -85.75368464187805 38.255789629535634, -85.75371883044588 38.25555872080641))",11
11,Corporate Plaza Garage,118 S 2ND ST,7,"POLYGON ((-85.75391227894323 38.25504162881036, -85.75470782774362 38.25513293287301, -85.75467286729655 38.25529974128246, -85.75459257205435 38.25529277687519, -85.75456125874206 38.25547341086916, -85.75385071004852 38.25539716001913, -85.75391227894323 38.25504162881036))",12
12,Actors Theatre Garage,130 S 3RD ST,9,"POLYGON ((-85.75536713053128 38.25636760283188, -85.75516205228841 38.25634973728434, -85.75520766696664 38.25605822289547, -85.75505807580952 38.25603984806594, -85.75510857297301 38.25571712007475, -85.75556384254085 38.25575134597307, -85.7554960828548 38.25608573533323, -85.75541012866655 38.25607717943062, -85.75536713053128 38.25636760283188))",13
13,Cowger Garage,115 S 4TH ST,6,"POLYGON ((-85.75647055895189 38.25612256749496, -85.75604440882098 38.25607680905408, -85.75608330202435 38.25586275653218, -85.7558633710542 38.25583569459408, -85.75595692575448 38.25528827961738, -85.75660623202303 38.25535672869302, -85.7565274949544 38.2557879532298, -85.75647055895189 38.25612256749496))",14
14,U S Bank Garage,401 W MARKET ST,3,"POLYGON ((-85.7574949027796 38.2559513041007, -85.75683090356175 38.2558792079589, -85.75692289568046 38.25538251374558, -85.75757228342815 38.255454797910765, -85.7574949027796 38.2559513041007))",15
15,National City Tower Garage,412 W MAIN ST,4,"POLYGON ((-85.75685350448319 38.25594974875207, -85.75780068892293 38.25605275931846, -85.75770478817037 38.25659559913797, -85.75677220837078 38.25649239930327, -85.75680231373374 38.25629995368963, -85.75680223404724 38.25629611322961, -85.75685350448319 38.25594974875207))",16
